A00;Kolera
N20;Kamen v ledvici in seèevodu (ureterju)
N20.0;Kamen v ledvici
N20.1;Kamen v ureterju
N20.2;Kamen v ledvici in kamen v seèevodu
N20.9;Kamen seèil, neopredeljen
N21;Kamen v spodnjih seèilih
N21.0;Kamen v seènem mehurju (seèniku)
N21.1;Kamen v seènici (uretri)
N21.8;Druge vrste kamen v spodnjih seèilih
N21.9;Kamen v spodnjih seèilih, neopredeljen
N22;Kamen v seèilih pri boleznih, uvršèenih drugje
N22.0;Kamen v seèilih pri shistosomiozi [bilharziozi] (B65.-†)
N22.8;Kamen v seèilih pri drugih boleznih, uvršèenih drugje
N23;Neopredeljene ledviène kolike
N25;Motnje, ki so posledica oslabljenega delovanja ledviènih tubulov
N25.0;Ledvièna osteodistrofija
N25.1;Nefrogeni diabetes insipidus
N25.8;Druge motnje, ki so posledica oslabelega delovanja tubulov ledvic
N25.9;Motnja, ki je posledica oslabljenega delovanja tubulov ledvic, neopredeljena
N26;Sfrknjena ledvica brez opredeljenega vzroka
N27;Majhna ledvica zaradi neznanega vzroka
N27.0;Majhna ledvica, enostransko
N27.1;Majhna ledvica, obojestransko
N27.9;Majhna ledvica, neopredeljeno
N28;Druge motnje ledvice in seèevoda (ureterja), ki niso uvršèene drugje
N28.0;Ishemija in infarkt ledvice
N28.1;Cista ledvice, pridobljena
N28.8;Druge specifiène motnje ledvice in seèevoda
N28.9;Motnja ledvice in seèevoda, neopredeljena
N29;Druge motnje ledvice in seèevoda (ureterja) pri boleznih, uvršèenih drugje
N29.0;Pozni sifilis ledvic (A52.7†)
N29.1;Druge motnje ledvice in seèevoda pri infekcijskih in parazitskih boleznih, uvršèenih drugje
N29.8;Druge motnje ledvice in seèevoda pri boleznih, uvršèenih drugje
N30;Cistitis (vnetje seènega mehurja)
N30.0;Akutno vnetje seènega mehurja
N30.1;Intersticijski cistitis (kronièni)
N30.2;Drugi kronièni cistitisi
N30.3;Trigonitis
N30.4;Iradiacijski cistitis
N30.8;Druge vrste cistitis
N30.9;Cistitis, neopredeljen
N31;Živènomišièna (nevromuskularna) disfunkcija seènega mehurja (seènika), ki ni uvršèena drugje
N31.0;Nestabilni nevrogeni mehur, ki ni uvršèen drugje
N31.1;Refleksni nevrogeni mehur, ki ni uvršèen drugje
N31.2;Flakcidni nevropatski mehur, ki ni uvršèen drugje
N31.8;Druge vrste živènomišièna disfunkcija seènega mehurja
N31.9;Živènomišièna disfunkcija seènega mehurja, neopredeljena
N32;Druge motnje seènega mehurja (seènika)
N32.0;Obstrukcija vratu seènega mehurja
N32.1;Vezikointestinalna fistula
N32.2;Vezikalna fistula, ki ni uvršèena drugje
N32.3;Divertikel seènega mehurja
N32.4;Ruptura seènega mehurja (seènika), nepoškodbena
N32.8;Druge opredeljene motnje seènega mehurja
N32.9;Motnja seènega mehurja, neopredeljena
N33;Motnje seènega mehurja (seènika) pri boleznih, uvršèenih drugje
N33.0;Tuberkulozni cistitis (A18.1†)
N33.8;Motnje seènega mehurja pri drugih boleznih, uvršèenih drugje
N34;Uretritis in uretralni sindrom
N34.0;Absces uretre (seènice)
N34.1;Nespecifièni uretritis
N34.2;Druge vrste uretritis
N34.3;Uretralni sindrom, neopredeljen
N35;Striktura (zoženje) uretre (seènice)
N35.0;Popoškodbena striktura uretre
N35.1;Poinfekcijska striktura uretre, ki ni uvršèena drugje
N35.8;Druge vrste striktura uretre
N35.9;Striktura uretre, neopredeljena
N36;Druge motnje uretre (seènice)
N36.0;Fistula uretre
N36.1;Divertikel uretre
N36.2;Karunkula uretre
N36.3;Prolaps uretralne mukoze
N36.8;Druge opredeljene motnje uretre
N36.9;Motnja uretre, neopredeljena
N37;Motnje uretre (seènice) pri boleznih, uvršèenih drugje
N37.0;Uretritis pri boleznih, uvršèenih drugje
N37.8;Motnje uretre pri boleznih, uvršèenih drugje
N39;Druge motnje seèil
N39.0;Infekcija seèil, mesto ni opredeljeno
N39.1;Persistentna proteinurija, neopredeljena
N39.2;Ortostatska proteinurija, neopredeljena
N39.3;Stresna inkontinenca
N39.4;Druge vrste opredeljena inkontinenca urina
N39.8;Druge opredeljene motnje seèil
N39.81;Sindrom ledvene boleèine/hematurije
N39.88;Druge specifiène motnje seèil
N39.9;Motnja seèil, neopredeljena
N40;Hiperplazija prostate (obseènice)
N41;Vnetne bolezni prostate (obseènice)
N41.0;Akutni prostatitis
N41.1;Kronièni prostatitis
N41.2;Absces prostate
N41.3;Prostatocistitis
N41.8;Druge vnetne bolezni prostate
N41.9;Vnetna bolezen prostate, neopredeljena
N42;Druge bolezni prostate (obseènice)
N42.0;Kalkuloza prostate
N42.1;Hiperemija in krvavitev prostate
N42.2;Atrofija prostate
N42.8;Druge opredeljene bolezni prostate
N42.9;Bolezen prostate, neopredeljena
N43;Hidrokela in spermatokela
N43.0;Cistièna (septirana) hidrokela
N43.1;Okužena hidrokela
N43.2;Druge vrste hidrokela
N43.3;Hidrokela, neopredeljena
N43.4;Spermatokela
N44;Torzija testisa
N45;Orhitis in epididimitis
N45.0;Orhitis, epididimitis in epididimo-orhitis z abscesom
N45.9;Orhitis, epididimitis in epididimo-orhitis brez abscesa
N46;Moška neplodnost
N47;Zoženi prepucij, fimoza in parafimoza
N48;Druge motnje penisa
N48.0;Levkoplakija penisa
N48.1;Balanopostitis
N48.2;Druga vnetja penisa
N48.3;Priapizem
N48.4;Impotenca organskega izvora
N48.5;Ulkus penisa
N48.6;Induratio penis plastica
N48.8;Druge opredeljene motnje penisa
N48.9;Motnja penisa, neopredeljena
N49;Vnetja moških spolnih organov, ki niso uvršèena drugje
N49.0;Vnetja semenjaka (vesicula seminalis)
N49.1;Vnetja semenskega povesma, tunike vaginalis in deferentnega duktusa (semenovoda)
N49.2;Vnetja skrotuma (modnika)
N49.8;Vnetja drugih opredeljenih moških spolnih organov
N49.9;Vnetje neopredeljenega moškega spolnega organa
N50;Druge motnje moških spolnih organov
N50.0;Atrofija testisa
N50.1;Vaskularne motnje moških spolnih organov
N50.8;Druge opredeljene motnje moških spolnih organov
N50.9;Motnja moških spolnih organov, neopredeljena
N51;Motnje moških spolnih organov pri boleznih, uvršèenih drugje
N51.0;Motnje prostate pri boleznih, uvršèenih drugje
N51.1;Motnje testisa in epididimisa pri boleznih, uvršèenih drugje
N51.2;Balanitis pri boleznih, uvršèenih drugje
N51.8;Druge motnje moških spolnih organov pri boleznih, uvršèenih drugje
N60;Benigna displazija dojke
N60.0;Solitarna cista dojke
N60.1;Difuzna cistièna mastopatija
N60.2;Fibroadenoza dojke
N60.3;Fibroskleroza dojke
N60.4;Ektazija mamarnega voda
N60.8;Druge benigne displazije dojke
N60.9;Benigna displazija dojke, neopredeljena
N61;Vnetja dojke
N62;Hipertrofija dojke
N63;Neopredeljena zatrdlina v dojki
N64;Druge motnje dojke
N64.0;Fisura in fistula bradavice
N64.1;Mašèobna nekroza dojke
N64.2;Atrofija dojke
N64.3;Galaktoreja, ki ni povezana s porodom
N64.4;Mastodinija (boleèa dojka)
N64.5;Drugi znaki in simptomi v dojki
N64.8;Druge opredeljene motnje dojke
N64.9;Motnja dojke, neopredeljena
N70;Salpingitis in ooforitis
N70.0;Akutni salpingitis in ooforitis
N70.1;Kronièni salpingitis in ooforitis
N70.9;Salpingitis in ooforitis, neopredeljena
N71;Vnetna bolezen maternice, razen vratu
N71.0;Akutna vnetna bolezen maternice
N71.1;Kronièna vnetna bolezen maternice
N71.9;Vnetna bolezen maternice, neopredeljena
N72;Vnetna bolezen materniènega vratu
N73;Druge vnetne bolezni v ženski medenièni votlini
N73.0;Akutni parametritis
N73.1;Kronièni parametritis
N73.2;Neopredeljeni parametritis
N73.3;Akutni pelveoperitonitis pri ženski
N73.4;Kronièni pelveoperitonitis pri ženski
N73.5;Pelveoperitonitis pri ženski, neopredeljen
N73.6;Peritonealne zarastline v ženski medenièni votlini
N73.8;Druge opredeljene vnetne bolezni v ženski medenièni votlini
N73.9;Vnetna bolezen v ženski medenièni votlini, neopredeljena
N74;Vnetne spremembe v ženski medenièni votlini pri boleznih, uvršèenih drugje
N74.0;Tuberkulozno vnetje materniènega vratu (A18.1†)
N74.1;Tuberkulozno vnetje v ženski medenièni votlini (A18.1†)
N74.2;Sifilitièno vnetje v ženski medenièni votlini (A51.4†, A52.7†)
N74.3;Gonokokno vnetje v ženski medenièni votlini (A54.2†)
N74.4;Klamidijsko vnetje v ženski medenièni votlini (A56.1†)
N74.8;Vnetja v ženski medenièni votlini pri drugih boleznih, uvršèenih drugje
N75;Bolezni Bartholinove žleze
N75.0;Cista Bartholinove žleze
N75.1;Absces Bartholinove žleze
N75.8;Druge bolezni Bartholinove žleze
N75.9;Bolezen Bartholinove žleze, neopredeljena
N76;Druge vrste vnetje nožnice in ženskega zunanjega spolovila
N76.0;Akutni vaginitis (kolpitis)
N76.1;Subakutni in kronièni vaginitis
N76.2;Akutni vulvitis
N76.3;Subakutni in kronièni vulvitis
N76.4;Absces ženskega zunanjega spolovila
N76.5;Ulceracija nožnice
N76.6;Ulceracija ženskega zunanjega spolovila
N76.8;Drugo opredeljeno vnetje nožnice in ženskega zunanjega spolovila
N77;Vulvovaginalna ulceracija in vnetje pri boleznih, uvršèenih drugje
N77.0;Ulceracija ženskega zunanjega spolovila pri infekcijskih in parazitskih boleznih, uvršèenih drugje
N77.1;Vaginitis, vulvitis, vulvovaginitis pri infekcijskih in parazitskih boleznih, uvršèenih drugje
N77.8;Vulvovaginalna ulceracija in vnetje pri drugih boleznih, uvršèenih drugje
N80;Endometrioza
N80.0;Endometrioza maternice
N80.1;Endometrioza jajènika
N80.2;Endometrioza jajcevoda
N80.3;Endometrioza pelviènega peritoneja
N80.4;Endometrioza rektovaginalnega septuma in nožnice
N80.5;Endometrioza èrevesja
N80.6;Endometrioza v brazgotini
N80.8;Druge vrste endometrioza
N80.9;Endometrioza, neopredeljena
N81;Zdrs (prolaps) ženskih spolnih organov
N81.0;Uretrokela, ženska
N81.1;Cistokela
N81.2;Nepopolni uterovaginalni zdrs
N81.3;Popolni uterovaginalni zdrs
N81.4;Uterovaginalni zdrs, neopredeljen
N81.5;Vaginalna enterokela
N81.6;Rektokela
N81.8;Druge vrste zdrs ženskih spolnih organov
N81.9;Zdrs ženskih spolnih organov, neopredeljen
N82;Fistule na ženskem spolnem traktu
N82.0;Vezikovaginalna fistula
N82.1;Druge fistule ženskih seèil in rodil
N82.2;Fistula nožnice do tankega èrevesja
N82.3;Fistula nožnice do debelega èrevesja
N82.4;Druge fistule ženskega intestinalnogenitalnega trakta
N82.5;Kožne fistule ženskega spolnega trakta
N82.8;Druge fistule ženskega spolnega trakta
N82.9;Fistula ženskega spolnega trakta, neopredeljena
N83;Nevnetne nepravilnosti jajènika, jajcevoda in širokega ligamenta
N83.0;Folikularna cista jajènika
N83.1;Cista rumenega telesca
N83.2;Druge in neopredeljene ciste jajènika
N83.3;Pridobljena atrofija jajènika in jajcevoda
N83.4;Zdrs in hernija jajènika in jajcevoda
N83.5;Torzija jajènika in jajcevoda
N83.6;Hematosalpinks
N83.7;Hematom širokega ligamenta
N83.8;Druge nevnetne nepravilnosti jajènika, jajcevoda in širokega ligamenta
N83.9;Nevnetna nepravilnost jajènika, jajcevoda in širokega ligamenta, neopredeljena
N84;Polip ženskega spolnega trakta
N84.0;Polip materniènega telesa
N84.1;Polip materniènega vratu
N84.2;Polip nožnice
N84.3;Polip zunanjega spolovila
N84.8;Polip drugih delov ženskega spolnega trakta
N84.9;Polip ženskega spolnega trakta, neopredeljen
N85;Druge nevnetne nepravilnosti maternice, razen vratu
N85.0;Glandularna hiperplazija endometrija
N85.1;Adenomatozna hiperplazija endometrija
N85.2;Hipertrofija maternice
N85.3;Nepopolna involucija maternice
N85.4;Nepravilna lega maternice
N85.5;Inverzija maternice
N85.6;Intrauterina zarastlina
N85.7;Hematometra
N85.8;Druge opredeljene nevnetne nepravilnosti maternice
N85.9;Nevnetna nepravilnost maternice, neopredeljena
N86;Erozija in ektropij materniènega vratu
N87;Displazija materniènega vratu 
N87.0;Blaga displazija materniènega vratu
N87.1;Zmerna displazija materniènega vratu
N87.2;Huda displazija materniènega vratu, ki ni uvršèena drugje
N87.9;Displazija materniènega vratu, neopredeljena
N88;Druge nevnetne nepravilnosti materniènega vratu
N88.0;Levkoplakija materniènega vratu
N88.1;Stara poškodba materniènega vratu
N88.2;Striktura in stenoza materniènega vratu
N88.3;Nezadostnost materniènega vratu
N88.4;Hipertrofièno podaljšanje materniènega vratu
N88.8;Druge opredeljene nevnetne nepravilnosti materniènega vratu
N88.9;Nevnetna nepravilnost materniènega vratu, neopredeljena
N89;Druge nevnetne nepravilnosti nožnice
N89.0;Blaga vaginalna displazija
N89.1;Zmerna vaginalna displazija
N89.2;Huda vaginalna displazija, ki ni opredeljena drugje
N89.3;Vaginalna displazija, neopredeljena
N89.4;Vaginalna levkoplakija
N89.5;Zožanje in atrezija nožnice
N89.6;Ozek himenski obroè
N89.7;Hematokolpos
N89.8;Druge opredeljene nevnetne nepravilnosti nožnice
N89.9;Nevnetna nepravilnost nožnice, neopredeljena
N90;Druge nevnetne nepravilnosti ženskega zunanjega spolovila (vulve) in presredka (perineja)
N90.0;Blaga displazija ženskega zunanjega spolovila
N90.1;Zmerna displazija ženskega zunanjega spolovila
N90.2;Huda displazija ženskega zunanjega spolovila, ki ni uvršèena drugje
N90.3;Displazija ženskega zunanjega spolovila, neopredeljena
N90.4;Levkoplakija ženskega zunanjega spolovila
N90.5;Atrofija ženskega zunanjega spolovila
N90.6;Hipertrofija ženskega zunanjega spolovila
N90.7;Cista ženskega zunanjega spolovila
N90.8;Druge opredeljene nevnetne nepravilnosti ženskega zunanjega spolovila in presredka
N90.9;Nevnetna nepravilnost ženskega zunanjega spolovila in presredka, neopredeljena
N91;Odsotna, šibka menstruacija in taka, ki se pojavlja na daljše èasovne razmike
N91.0;Primarna amenoreja
N91.1;Sekundarna amenoreja
N91.2;Amenoreja, neopredeljena
N91.3;Primarna oligomenoreja
N91.4;Sekundarna oligomenoreja
N91.5;Oligomenoreja, neopredeljena
N92;Premoèna, prepogosta in neredna menstruacija
N92.0;Premoèna in prepogosta menstruacija v rednih èasovnih razmikih
N92.1;Premoèna in prepogosta menstruacija v nerednih èasovnih razmikih
N92.2;Premoèna menstruacija v puberteti
N92.3;Ovulacijska krvavitev
N92.4;Premoèna krvavitev v predmenopavznem obdobju
N92.5;Druge vrste opredeljena neredna menstruacija
N92.6;Neredna menstruacija, neopredeljena
N93;Druge vrste nenormalna krvavitev iz maternice in nožnice
N93.0;Postkoitalna in kontaktna krvavitev
N93.8;Druge vrste opredeljena nenormalna krvavitev iz maternice in nožnice
N93.9;Nenormalna krvavitev iz maternice in nožnice, neopredeljena
N94;Boleèina in druga stanja, povezana z ženskimi spolnimi organi in menstruacijskim ciklusom
N94.0;Boleèina sredi menstruacijskega ciklusa (Mittelschmerz)
N94.1;Disparevnija (boleè spolni odnos)
N94.2;Vaginizem
N94.3;Predmenstruacijski sindrom
N94.4;Primarna dismenoreja
N94.5;Sekundarna dismenoreja
N94.6;Dismenoreja, neopredeljena
N94.8;Druga opredeljena stanja, povezana z ženskimi spolnimi organi in menstruacijskim ciklusom
N94.9;Neopredeljeno stanje, povezano z ženskimi spolnimi organi in menstruacijskim ciklusom
N95;Menopavzne in druge obmenopavzne motnje
N95.0;Pomenopavzna krvavitev
N95.1;Menopavzna stanja in stanja žensk v klimakteriju
N95.2;Pomenopavzni atrofièni vaginitis
N95.3;Stanja, povezana z umetno menopavzo
N95.8;Druge opredeljene menopavzne in perimenopavzne motnje
N95.9;Menopavzna in perimenopavzna motnja, neopredeljena
N96;Ženska s ponavljajoèimi se splavi
N97;Ženska neplodnost
N97.0;Ženska neplodnost, povezana z anovulacijo
N97.1;Ženska neplodnost tubarnega izvora
N97.2;Ženska neplodnost materniènega izvora
N97.3;Ženska neplodnost cervikalnega izvora
N97.4;Ženska neplodnost, povezana z moškimi dejavniki
N97.8;Ženska neplodnost drugaènega izvora
N97.9;Ženska neplodnost, neopredeljena
N98;Zapleti, povezani z umetno oploditvijo
N98.0;Infekcija, povezana z umetno inseminacijo (osemenitvijo)
N98.1;Hiperstimulacija jajènikov
N98.2;Zapleti pri poskusu vnosa oplojenega jajèeca po zunajtelesni oploditvi
N98.3;Zapleti pri poskusu vnosa zarodka pri prenosu zarodka
N98.8;Drugi zapleti, povezani z umetno oploditvijo
N98.9;Zaplet, povezan z umetno oploditvijo, neopredeljen
N99;Pooperativne motnje seèil in spolovil, ki niso uvršèene drugje
N99.0;Pooperativna okvara ledvic
N99.1;Pooperativna striktura (zoženje) uretre
N99.2;Pooperativne zarastline nožnice
N99.3;Zdrs vaginalnega oboka po histerektomiji
N99.4;Pooperativne peritonealne zarastline v medenièni votlini
N99.5;Slabo delovanje zunanjega izvodila seènih poti
N99.8;Druge pooperativne motnje seèil in spolovil
N99.9;Pooperativna motnja seèil in spolovil, neopredeljena 
O00;Izvenmaternièna noseènost
O00.0;Abdominalna noseènost
O00.1;Noseènost v jajcevodu
O00.2;Noseènost v jajèniku
O00.8;Druge vrste izvenmaternièna noseènost
O00.9;Izvenmaternièna noseènost, neopredeljena
O01;Hidatidiformna mola (mehurèasta snet)
O01.0;Klasièna mehurèasta snet
O01.1;Nepopolna in delna mehurèasta snet
O01.9;Hidatidiformna mola, neopredeljena
O02;Druge nenormalne tvorbe zanositve
O02.0;Snetljivo jajce in nemehurèasta snet
O02.1;Splav z odmrlim plodom (missed abortion)
O02.8;Druge opredeljene nenormalne tvorbe zanositve
O02.9;Nenormalna tvorba zanositve, neopredeljena
O03;Spontani (nenamerni, samoodsebni) splav
O03.0;Spontani splav, nepopolni, zaplet zaradi infekcije rodil in male medenice
O03.1;Spontani splav, nepopolni, zaplet zaradi zapoznele ali èezmerne krvavitve
O03.2;Spontani splav, nepopolni, zaplet zaradi embolije
O03.3;Spontani splav, nepopolni, pri drugih in neopredeljenih zapletih
O03.4;Spontani splav, nepopolni, brez zapleta
O03.5;Spontani splav, popolni ali neopredeljeni, zaplet zaradi infekcije rodil in male medenice
O03.6;Spontani splav, popolni ali neopredeljeni, zaplet zaradi zapoznele ali èezmerne krvavitve
O03.7;Spontani splav, popolni ali neopredeljeni, zaplet zaradi embolije
O03.8;Spontani splav, popolni ali neopredeljeni, pri drugih ali neopredeljenih zapletih
O03.9;Spontani splav, popolni ali neopredeljeni, brez zapleta
O04;Medicinski splav
O04.0;Medicinski splav, nepopolni, zaplet zaradi infekcije rodil in male medenice
O04.1;Medicinski splav, nepopolni, zaplet zaradi zapoznele ali èezmerne krvavitve
O04.2;Medicinski splav, nepopolni, zaplet zaradi embolije
O04.3;Medicinski splav, nepopolni, pri drugih in neopredeljenih zapletih
O04.4;Medicinski splav, nepopolni, brez zapleta
O04.5;Medicinski splav, popolni ali neopredeljeni, zaplet zaradi infekcije rodil in male medenice
O04.6;Medicinski splav, popolni ali neopredeljeni, zaplet zaradi zapoznele ali èezmerne krvavitve
O04.7;Medicinski splav, popolni ali neopredeljeni, zaplet zaradi embolije
O04.8;Medicinski splav, popolni ali neopredeljeni, pri drugih ali neopredeljenih zapletih
O04.9;Medicinski splav, popolni ali neopredeljeni, brez zapleta
O05;Druge vrste splav
O05.0;Druge vrste splav, nepopolni, zaplet zaradi infekcije rodil in male medenice
O05.1;Druge vrste splav, nepopolni, zaplet zaradi zapoznele ali èezmerne krvavitve
O05.2;Druge vrste splav, nepopolni, zaplet zaradi embolije
O05.3;Druge vrste splav, nepopolni, pri drugih in neopredeljenih zapletih
